Player,Nation,From,To,Price
Brooklyn Kabongolo,France,Ipswich Town,Billericay Town,0.0
Oludare Olufunwa,England,Liverpool,St. Johnstone,0.0
Jack Hodnett,England,Wolverhampton,Shifnal Town,0.0
Sam Bentley,England,Luton,St. Albans City,0.0
Carlos Forbs,Portugal,Man City,Ajax,14.0
Matija Šarkić,Montenegro,Wolverhampton,Millwall,1.4
Auston Trusty,United States,Arsenal,Sheff Utd,5.8
Thomas Kaminski,Belgium,Blackburn,Luton,2.9
Sam McClelland,Northern Ireland,Chelsea,St. Johnstone,0.0
Lee Harkin,Northern Ireland,Wolverhampton,Coleraine,0.0
Aaron Connolly,Ireland,Brighton,Hull City,1.4
Aaron Pressley,Scotland,Brentford,Stevenage,0.0
Manuel Lanzini,Argentina,West Ham United,River Plate,0.0
Lucas Moura,Brazil,Tottenham,Sao Paulo,0.0
Billy Fewster,England,Nottingham,Alfreton Town,0.0
Lewis Ridd,Wales,Ipswich Town,Derby,0.0
Freddie Bell,England,C. Palace,Penn State Nittany Lions,0.0
Harrison Parker,England,Man Utd,Man City,0.8
Marqes Muir,England,Tottenham,Kentucky Wildcats (University of Kentucky),0.0
Braian Ojeda,Paraguay,Nottingham,Salt Lake,3.6
Chris Francis,England,B'mouth,C. Palace,0.0
Iliman Ndiaye,Senegal,Sheff Utd,Marseille,17.0
Luke Matheson,England,Wolverhampton,Bolton Wanderers,0.0
Mohammed Salisu,Ghana,Southampton,Monaco,15.0
Lesley Ugochukwu,France,Stade Rennais,Chelsea,27.0
Jack Colback,England,Nottingham,QPR,0.0
Callum Nicolson,England,Luton,AFC Dunstable,0.0
Tom Smith,England,Arsenal,Colchester,0.0
Ackeme Francis-Burrell,England,Wolverhampton,Stockport,0.0
Di'Shon Bernard,Jamaica,Man Utd,Sheff Wed,0.0
Fabinho,Brazil,Liverpool,Al-Ittihad,46.7
Stephy Mavididi,England,Montpellier,Leicester,7.5
Conor Lawless,England,Luton,Dagenham,0.0
Allan Saint-Maximin,France,Newcastle Utd.,Al Ahli,27.2
Matthew Vigor,England,C. Palace,Cray Valley Paper Mills,0.0
Karl Darlow,Wales,Newcastle Utd.,Leeds United,0.4
Ryan Giles,England,Wolverhampton,Luton,5.9
